coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2023039593,Carbon Accounting & Management,Nanyang Polytechnic,carbon_accounting,235.0,70.5,183.3,54.99,4.0,12.0,23.0,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023039593,False
TGS-2024051436,Sustainability Reporting Learning Journey: Deep Dive into Carbon Management,Nanyang Polytechnic,carbon_accounting,300.0,90.0,234.0,70.2,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051436,False
TGS-2023021559,Food Waste Composting and Soil Health for Carbon Reduction,Temasek Polytechnic,carbon_accounting,350.0,105.0,273.0,81.9,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021559,False
TGS-2023021560,Life Cycle Analysis for Evaluating Carbon Footprint in Businesses,Temasek Polytechnic,carbon_accounting,350.0,105.0,273.0,81.9,4.0,14.0,15.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021560,False
TGS-2023021562,Carbon Management,Temasek Polytechnic,carbon_accounting,380.0,114.0,296.40000000000003,88.92,5.0,10.0,10.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021562,False
TGS-2025056023,"Certificate of Competency in Measurement, Reporting and Verification of Carbon Credits",Institute of Technical Education,carbon_accounting,410.0,123.0,319.8,95.94,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056023,False
TGS-2024051865,Decarbonising Journey for Businesses,SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051865,False
TGS-2024051866,Decarbonising Journey for Businesses (Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051866,False
TGS-2024051864,Decarbonising our Built Environment,SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051864,False
TGS-2024051861,Decarbonising our Built Environment (Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051861,False
TGS-2025052286,Carbon Management for SMEs,Ngee Ann Polytechnic,carbon_accounting,500.0,150.0,390.0,117.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052286,False
TGS-2022013700,Carbon Economy and Reporting,Republic Polytechnic,carbon_accounting,510.0,153.0,397.8,119.34,4.0,29.0,57.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022013700,False
TGS-2023039591,Reducing GHG Emissions Through Energy Management & Audit,Nanyang Polytechnic,carbon_accounting,525.0,157.5,409.5,122.85000000000001,4.5,10.0,11.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023039591,False
TGS-2023037553,CoC in Fundamentals of Carbon Reporting,Institute of Technical Education,carbon_accounting,560.0,168.0,436.8,131.04,4.0,66.0,103.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037553,False
TGS-2025052961,Greenhouse Gas Verification and Validation (ISO 14064-3:2019) leading to Greenhouse Gas Practitioner,SINGAPORE POLYTECHNIC,carbon_accounting,600.0,180.0,468.0,140.4,4.0,6.0,6.0,9.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052961,False
